Designator,Mid X,Mid Y,Rotation,Layer
J1,120.9995,-200.0,90.0,top
J10,338.9995,-200.0,270.0,top
J11,380.9995,-200.0,90.0,top
J12,390.9995,-200.0,270.0,top
J13,432.9995,-200.0,90.0,top
J14,442.9995,-200.0,270.0,top
J15,106.915,-200.0,90.0,top
J16,108.285,-164.61,90.0,top
J17,455.715,-164.61,270.0,top
J18,457.085,-200.0,270.0,top
J2,130.9995,-200.0,270.0,top
J3,172.9995,-200.0,90.0,top
J4,182.9995,-200.0,270.0,top
J5,224.9995,-200.0,90.0,top
J6,234.9995,-200.0,270.0,top
J7,276.9995,-200.0,90.0,top
J8,286.9995,-200.0,270.0,top
J9,328.9995,-200.0,90.0,top
